Exposure,Group,Level,Threshold,TPR,FPR,PPV,TPR_gap,FPR_gap,PPV_gap
ILLYR_bin,IRPREG,0.0,0.2642,0.6167364298527886,0.3519288659797069,0.38923703642871366,0.01629161065546103,0.057312586931035636,-0.008948627964104894
ILLYR_bin,IRPREG,1.0,0.2642,0.5841532085418666,0.23730369211763566,0.4071342923569235,-0.01629161065546103,-0.05731258693103561,0.00894862796410495
ILLYR_bin,NEWRACE2,1.0,0.2642,0.7293738051012147,0.503473887857892,0.3915024367776299,0.3562651060194766,0.26823990419498256,0.05212489060615272
ILLYR_bin,NEWRACE2,2.0,0.2642,0.39200872029140715,0.16928777949397897,0.3464985395468975,0.018900021209668993,-0.06594620416893054,0.007120993375420326
ILLYR_bin,NEWRACE2,3.0,0.2642,0.010482249274148878,0.0055920441755895655,0.2220053155174321,-0.3626264498075893,-0.22964193948731995,-0.11737223065404509
ILLYR_bin,NEWRACE2,4.0,0.2642,0.0,0.0,,-0.37310869908173816,-0.2352339836629095,
ILLYR_bin,NEWRACE2,5.0,0.2642,0.2711124767037423,0.12623995222643863,0.29592530308665915,-0.10199622237799588,-0.10899403143647088,-0.04345224308481804
ILLYR_bin,NEWRACE2,6.0,0.2642,0.7114370924571446,0.6013285143815629,0.3781351751738213,0.33832839337540643,0.3660945307186534,0.038757629002344085
ILLYR_bin,NEWRACE2,7.0,0.2642,0.4973465497445093,0.24071570750490429,0.40219850692642306,0.12423785066277115,0.005481723841994773,0.06282096075494586
ILLYR_bin,YEAR,2021.0,0.2642,0.6851128744513292,0.4084439808998489,0.40322806150349877,0.1399673593144305,0.09008107178392388,0.043346858666931165
ILLYR_bin,YEAR,2022.0,0.2642,0.5847474866012781,0.3227091939257504,0.38494598621900583,0.03960197146437938,0.004346284809825407,0.025064783382438227
ILLYR_bin,YEAR,2023.0,0.2642,0.3655761843580886,0.22393555252217578,0.29146956078719827,-0.1795693307788101,-0.09442735659374923,-0.06841164204936934
PNRNMYR_bin,IRPREG,0.0,0.2642,0.6066505918617658,0.39905810364958305,0.35601853573172165,0.07606874049326451,0.06900853083868452,0.014543720072297872
PNRNMYR_bin,IRPREG,1.0,0.2642,0.4545131108752369,0.26104104197221406,0.3269310955871259,-0.07606874049326445,-0.06900853083868447,-0.014543720072297872
PNRNMYR_bin,NEWRACE2,1.0,0.2642,0.7563452072067123,0.6171453661026867,0.35245567302076086,0.4051402928003136,0.3584643534845921,-0.03262698217735083
PNRNMYR_bin,NEWRACE2,2.0,0.2642,0.1857964795343683,0.10695930710454683,0.2845614024961587,-0.16540843487203039,-0.15172170551354774,-0.100521252701953
PNRNMYR_bin,NEWRACE2,3.0,0.2642,0.0,0.0,,-0.35120491440639867,-0.25868101261809456,
PNRNMYR_bin,NEWRACE2,4.0,0.2642,0.0,0.0,,-0.35120491440639867,-0.25868101261809456,
PNRNMYR_bin,NEWRACE2,5.0,0.2642,0.1725040985170377,0.026036783230418047,0.564583201467014,-0.17870081588936096,-0.2326442293876765,0.17950054626890233
PNRNMYR_bin,NEWRACE2,6.0,0.2642,0.8926902847030437,0.7981036659441867,0.36502601397741746,0.541485370296645,0.5394226533260922,-0.020056641220694227
PNRNMYR_bin,NEWRACE2,7.0,0.2642,0.4510983308836287,0.2625219659448239,0.3587869850292073,0.09989341647723005,0.003840953326729346,-0.026295670168904384
PNRNMYR_bin,YEAR,2021.0,0.2642,0.6717467666027841,0.4867752243554988,0.3572815618399109,0.15375797551485038,0.13855249688803023,0.03163814911616625
PNRNMYR_bin,YEAR,2022.0,0.2642,0.6231462043165891,0.34938350148575514,0.38120786891643027,0.10515741322865535,0.00116077401828657,0.05556445619268563
PNRNMYR_bin,YEAR,2023.0,0.2642,0.259073402344428,0.20850945656115194,0.2384408074148927,-0.2589153887435057,-0.13971327090631663,-0.08720260530885193
STMNMYR_bin,IRPREG,0.0,0.2642,0.6137003442092793,0.40708135095752035,0.35410593449598915,0.07959361666702125,0.07327601751849105,0.013371452205621859
STMNMYR_bin,IRPREG,1.0,0.2642,0.4545131108752369,0.2605293159205382,0.3273630300847455,-0.0795936166670212,-0.07327601751849111,-0.013371452205621803
STMNMYR_bin,NEWRACE2,1.0,0.2642,0.7656463558919983,0.6157786929237093,0.3557581779777199,0.429677289222184,0.34885371770613594,0.10392298825772678
STMNMYR_bin,NEWRACE2,2.0,0.2642,0.1857964795343683,0.10637131160441232,0.28568501158570236,-0.15017258713544596,-0.1605536636131611,0.03384982186570923
STMNMYR_bin,NEWRACE2,3.0,0.2642,0.0,0.02954881558851221,0.0,-0.33596906666981424,-0.2373761596290612,-0.25183518971999314
STMNMYR_bin,NEWRACE2,4.0,0.2642,0.0,0.0,,-0.33596906666981424,-0.2669249752175734,
STMNMYR_bin,NEWRACE2,5.0,0.2642,0.024553051411229626,0.026036783230418047,0.1558020356386287,-0.31141601525858464,-0.24088819198715536,-0.09603315408136442
STMNMYR_bin,NEWRACE2,6.0,0.2642,0.8925037604393138,0.7961922097422072,0.36553351183110205,0.5565346937694995,0.5292672345246338,0.11369832211110892
STMNMYR_bin,NEWRACE2,7.0,0.2642,0.4832838194117899,0.29454701343375483,0.34823240128680594,0.14731475274197564,0.02762203821618142,0.0963972115668128
STMNMYR_bin,YEAR,2021.0,0.2642,0.6785166792808627,0.5019414280480189,0.352553010740341,0.15146030142780487,0.14916251883209092,0.023597012961852848
STMNMYR_bin,YEAR,2022.0,0.2642,0.6235450446641249,0.34658352878519855,0.38325893737331374,0.09648866681106705,-0.006195380430729425,0.05430293959482557
STMNMYR_bin,YEAR,2023.0,0.2642,0.279107409614186,0.20981177081456656,0.25105604522180985,-0.2479489682388718,-0.1429671384013614,-0.07789995255667831
ALCMON_bin,IRPREG,0.0,0.2623,0.6028933985477942,0.40971927054611723,0.34632968713303053,0.07419014383627864,0.06745687162859593,0.015301911975142357
ALCMON_bin,IRPREG,1.0,0.2623,0.4545131108752369,0.27480552728892543,0.3157258631827458,-0.0741901438362787,-0.06745687162859587,-0.015301911975142357
ALCMON_bin,NEWRACE2,1.0,0.2623,0.7776206610161929,0.6432293327359794,0.348974897675857,0.43336009539207804,0.37533743735362973,-0.0019013909478253765
ALCMON_bin,NEWRACE2,2.0,0.2623,0.18710109588885865,0.1360178423804713,0.2415588974894615,-0.15715946973525619,-0.13187405300187835,-0.10931739113422087
ALCMON_bin,NEWRACE2,3.0,0.2623,0.0,0.0,,-0.34426056562411483,-0.26789189538234964,
ALCMON_bin,NEWRACE2,4.0,0.2623,0.0,0.0,,-0.34426056562411483,-0.26789189538234964,
ALCMON_bin,NEWRACE2,5.0,0.2623,0.17260929067928094,0.038750136681839645,0.4709630151377656,-0.1716512749448339,-0.22914175870051,0.12008672651408325
ALCMON_bin,NEWRACE2,6.0,0.2623,0.9019112451075804,0.8303173569115276,0.35743193445259763,0.5576506794834655,0.5624254615291779,0.006555645828915269
ALCMON_bin,NEWRACE2,7.0,0.2623,0.3705816666768909,0.2269285989666293,0.33545269836273023,0.026321101052776075,-0.04096329641572033,-0.015423590260952136
ALCMON_bin,YEAR,2021.0,0.2623,0.6501298013214064,0.48885292091799903,0.34565386617420873,0.11273373588132785,0.12297563008542584,0.02078395565940755
ALCMON_bin,YEAR,2022.0,0.2623,0.6201999821490578,0.3531449914985753,0.3769087148289864,0.08280391670897924,-0.012732299333997887,0.05203880431418523
ALCMON_bin,YEAR,2023.0,0.2623,0.34185841284977136,0.2556339600811452,0.25204715054120835,-0.1955376525903072,-0.110243330751428,-0.07282275997359283
